dataset,variant,model,number users,number items,number interactions,avg. user degree,avg. item degree,rmse_mean,sparsity_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,rmse_sd,sparsity_sd,Precision@10_sd,Recall@10_sd,NDCG@10_sd,MRR@10_sd
ml20m,kcore10_sizematch_kcore50_seed43,LightGCN,55697,7100,2647566,47.5351634738,372.8966197183,,0.9933049065529865,0.03605644929617926,0.3605644929617926,0.18999220423520988,0.13837271757948286,,0.0,0.00027969457262914656,0.002796945726291473,0.0014568559789106211,0.0012235015055122131
ml20m,kcore10_sizematch_kcore50_seed43,MultiVAE,55697,7100,2647566,47.5351634738,372.8966197183,,0.9933049065529865,0.027929593986402376,0.2792959398640238,0.15138721082488518,0.11261233981447283,,0.0,0.0007379548877177511,0.007379548877177481,0.0042655366743153044,0.003278943120172831
ml20m,kcore10_sizematch_kcore50_seed43,NeuMF,55697,7100,2647566,47.5351634738,372.8966197183,,0.9933049065529865,0.04082698937087043,0.4082698937087044,0.21912716885477393,0.16171119172636336,,0.0,9.100348964000672e-05,0.0009100348964000029,0.0007747689784231385,0.0009992652454834327
ml20m,kcore10_sizematch_kcore50_seed44,BPR,55697,7100,2560521,45.9723324416,360.6367605634,,0.9935250235997741,0.035527504952746904,0.355275049527469,0.19273475026285433,0.1434674353744075,,0.0,0.00020614014839694236,0.002061401483969432,0.0007787945684216276,0.00046774768502150677
ml20m,kcore10_sizematch_kcore50_seed44,ItemKNN,55697,7100,2560521,45.9723324416,360.6367605634,,0.9935250235997741,0.04086988789734198,0.4086988789734198,0.22943482629252243,0.17472901802844523,,0.0,5.771910749399994e-06,5.771910749398735e-05,0.0005339011957966106,0.0006945979530768032
ml20m,kcore10_sizematch_kcore50_seed44,LightGCN,55697,7100,2560521,45.9723324416,360.6367605634,,0.9935250235997741,0.03709323134565086,0.37093231345650857,0.19910908272759,0.14698465520112766,,0.0,0.00015001596102307818,0.0015001596102307785,0.000691525249795049,0.0004383567068127646
ml20m,kcore10_sizematch_kcore50_seed44,MultiVAE,55697,7100,2560521,45.9723324416,360.6367605634,,0.9935250235997741,0.02929811645987826,0.2929811645987826,0.1609995399284503,0.12092378218192952,,0.0,0.0024829415643382274,0.024829415643382258,0.012682452664377907,0.008994696550682841
ml20m,kcore10_sizematch_kcore50_seed44,NeuMF,55697,7100,2560521,45.9723324416,360.6367605634,,0.9935250235997741,0.04134032403832917,0.41340324038329174,0.22275506439220286,0.1648183109273372,,0.0,8.989153623067165e-05,0.0008989153623067393,0.0013605207648227093,0.001532292413071267
ml20m,kcore50_plain,BPR,55697,7100,7928633,142.3529633553,1116.7088732394,,0.9799502868513666,0.02240994428185839,0.22409944281858388,0.1141219065910547,0.08108141671304858,,0.0,0.00017315729819104413,0.0017315729819104776,0.0005865371327584524,0.00026947329694463636
ml20m,kcore50_plain,ItemKNN,55697,7100,7928633,142.3529633553,1116.7088732394,,0.9799502868513666,0.02158404701629651,0.21584047016296506,0.11106172184046997,0.07956167407304811,,0.0,4.7716990778144886e-05,0.00047716990778144436,7.168363314403408e-05,3.0163228356100308e-05
ml20m,kcore50_plain,LightGCN,55697,7100,7928633,142.3529633553,1116.7088732394,,0.9799502868513666,0.021621152545618857,0.21621152545618852,0.10988515450004398,0.07792848455451468,,0.0,5.851922971755383e-05,0.0005851922971755469,0.0005122878780274211,0.0008102919519176889
ml20m,kcore50_plain,MultiVAE,55697,7100,7928633,142.3529633553,1116.7088732394,,0.9799502868513666,0.01604215666912042,0.1604215666912042,0.08083786338832998,0.056942690576459,,0.0,0.0003576285133367439,0.003576285133367429,0.0022238615214503926,0.001862795829703117
ml20m,kcore50_plain,NeuMF,55697,7100,7928633,142.3529633553,1116.7088732394,,0.9799502868513666,0.02303595047010312,0.23035950470103117,0.11573099349580569,0.08134387706043271,,0.0,0.00012723920979816622,0.001272392097981679,0.0006984387002138703,0.0005273872178238161
ml20m,kcore5_sizematch_kcore50_seed42,BPR,55697,7100,2121615,38.0920875451,298.8190140845,,0.9946349172471676,0.03695722618276086,0.36957226182760855,0.20231581282473843,0.15166080444083252,,0.0,0.00046587400709018463,0.004658740070901843,0.0019161349537112785,0.0010943447785088185
